iter	Passed	Remaining
0	6	65318
1	12	63449
2	17	58901
3	22	57304
4	28	56579
5	33	55673
6	38	54496
7	43	53910
8	48	54081
9	53	53914
10	58	53546
11	64	53641
12	70	53814
13	75	53712
14	80	53616
15	86	53871
16	92	54150
17	97	53920
18	102	53833
19	107	53702
20	112	53679
21	118	53724
22	124	53865
23	130	54125
24	135	54258
25	141	54220
26	146	54275
27	152	54308
28	158	54405
29	163	54252
30	168	54190
31	174	54244
32	179	54308
33	185	54372
34	191	54411
35	197	54610
36	203	54717
37	209	54892
38	214	54858
39	221	55042
40	227	55166
41	233	55299
42	238	55235
43	244	55227
44	249	55149
45	255	55180
46	260	55064
47	265	54990
48	270	54877
49	275	54744
50	281	54852
51	286	54834
52	292	54850
53	297	54871
54	303	54892
55	309	54907
56	314	54808
57	320	54856
58	325	54837
59	330	54737
60	336	54801
61	341	54819
62	347	54846
63	353	54854
64	358	54830
65	364	54869
66	370	54890
67	376	54921
68	382	55122
69	390	55433
70	398	55731
71	406	56020
72	413	56254
73	420	56431
74	428	56704
75	434	56756
76	440	56728
77	445	56678
78	451	56684
79	456	56655
80	461	56538
81	466	56448
82	472	56453
83	477	56394
84	483	56382
85	488	56294
86	493	56194
87	498	56144
88	504	56161
89	509	56135
90	515	56097
91	520	56072
92	526	56034
93	531	56010
94	536	55937
95	542	55948
96	547	55916
97	552	55839
98	558	55808
99	563	55785
100	569	55800
101	574	55776
102	579	55721
103	584	55646
104	590	55614
105	595	55579
106	601	55584
107	606	55528
108	611	55475
109	616	55434
110	622	55415
111	627	55365
112	632	55320
113	638	55332
114	642	55252
115	648	55255
116	653	55204
117	658	55132
118	663	55067
119	668	55048
120	674	55039
121	679	55015
122	684	54990
123	689	54925
124	694	54883
125	700	54885
126	705	54839
127	710	54764
128	715	54712
129	720	54686
130	725	54665
131	730	54641
132	735	54596
133	741	54572
134	745	54503
135	750	54456
136	755	54397
137	761	54385
138	766	54367
139	772	54411
140	777	54390
